,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
1537,1,VALV.GAVETA WCB A216 H/ASC. FLG ANSI 150# 2.1/2 - I.D. PC (16277),VALV - GAVETA - ACO CARBONO,IMP.GIDEOLI,5,"R$ 3.507,23",6.8%,9586,14/08/2023,01/01/2000,Crítico,44.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1472,2,VALV.ESF.MB BRONZE 1552  3/4 - DECA PC (2958),VALV - ESFERA - BRONZE,DECA,1,"R$ 5,93",6.7%,9586,10/10/2016,01/01/2000,Crítico,44.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
247,1,"CHAPA LISA 6,35 X 1220 X 3000MM NM 450 - IMP KG (17242)",CHPP - CARBONO - LISA,,362,"R$ 4.059,94",69.2%,575,02/09/2024,02/09/2024,Alto,43.9%,A (70% do valor),Campanha comercial agressiva
1348,1,TORNEIRA BOIA PRESSAO 2 B.METAL PC (3411),INDI - MEDICAO - NIVEL,GARDEM,3,"R$ 1.032,11",60.7%,1776,01/07/2022,20/05/2021,Crítico,43.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
845,3,MOLA VALV.RET.DUPLA PORT.INOX 302 20 WAF - MP PC (415),VALV - RETENCAO - INOX,MP,2,"R$ 680,33",6.1%,9586,20/12/2019,01/01/2000,Crítico,43.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
894,4,PARAF SEXT INOX 304 UNC M16 X 45 RI PC (17340),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,8,"R$ 112,00",6.0%,9586,17/06/2024,01/01/2000,Crítico,43.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1425,1,UNIAO DRESSER GALV. 3 - IMP PC (14044),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,3,"R$ 668,24",5.7%,9586,19/02/2021,01/01/2000,Crítico,43.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1586,4,VALV.RET.P/AMONIA WCB TIPO PISTAO  1/2 VRT-15 PC (17048),VALV - GLOBO - REFRIGERACAO,VALVUGAS,2,"R$ 883,16",5.6%,9586,08/03/2024,01/01/2000,Crítico,43.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1335,4,TERM.ANGULAR CARB. 100MM 0- 50C H/ 150MM R1/2 LATAO BSP - GIDEOLI PC (11281),INDI - MEDICAO - TEMPERATURA,FAMABRAS,4,"R$ 305,94",5.5%,9586,13/07/2017,01/01/2000,Crítico,43.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
356,2,CPVC IND LUVA L/R SCH80 2 IMP PC (17892),CONX - PVC - INDUSTRIAL,CEPEX,15,"R$ 562,92",5.5%,9586,13/02/2025,01/01/2000,Crítico,43.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
477,1,ER ACOPLADOR TAMPAO EFT-DC/TAC ALUMINIO 1.1/2 PC (10514),ACESS - ENGATES - CAMLOK,GABITEC,10,"R$ 383,23",5.3%,9586,09/11/2021,01/01/2000,Crítico,43.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1017,2,PPR AZUL TUBO PN-20  160MM 3MTS BR (15716),TUBO - PVC - PPR,TOP FUSION,1,"R$ 1.476,07",5.1%,9586,10/05/2023,01/01/2000,Crítico,43.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1467,2,VALV.ESF.BIP.CF8M F150  1.1/4 PP TR PC (17138),VALV - ESFERA - CF8,MGA,5,"R$ 1.608,43",5.1%,9586,10/05/2024,01/01/2000,Crítico,43.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
657,3,GUIA EM BRUTO P/ VALV.PEDAL PC (2225),VALV - GLOBO - BRONZE,DECA,19,"R$ 131,08",4.7%,9586,10/10/2016,01/01/2000,Crítico,42.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
844,4,MOLA VALV.RET.DUPLA PORT.INOX 302 14 WAF - MP PC (467),VALV - RETENCAO - INOX,MP,2,"R$ 513,68",4.6%,9586,20/12/2019,01/01/2000,Crítico,42.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
115,2,ATUADOR - ADAPT HASTE 9/16 Quad 17mm L 48 CF8 PC (14230),PNHD - PNEUMATICA - ATUADORES,MGA,19,"R$ 531,25",4.6%,9586,26/05/2021,01/01/2000,Crítico,42.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1014,3,PPR AZUL TE 160MM PC (15688),TUBO - PVC - PPR,TOP FUSION,4,"R$ 1.314,56",4.5%,9586,09/05/2023,01/01/2000,Crítico,42.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
924,1,"PERFIL U DOBR. 200x50x4,75x3000mm LT KG (14009)",FERR - CARBONO - PERFIL,GIDEOLI,68,"R$ 951,11",4.5%,9586,15/12/2020,01/01/2000,Crítico,42.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
72,1,AR-CONEXAO RETA FEMEA 06MM X 1/2 PC (17253),PNHD - PNEUMATICA - CONEXOES,E-MC,10,"R$ 133,51",4.4%,9586,28/05/2024,01/01/2000,Crítico,42.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1125,1,REDUCAO A/C EXC.SCH STD S/C ASTM A234 WPB 10 X 4 I.D PC (15043),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,2,"R$ 1.757,02",4.3%,9586,23/06/2022,01/01/2000,Crítico,42.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
979,4,PORCA LATAO P/ VALV.PEDAL PC (2249),VALV - GLOBO - BRONZE,DECA,50,"R$ 120,75",4.3%,9586,10/10/2016,01/01/2000,Crítico,42.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1020,4,PPR AZUL UNIAO MISTA COM FLANGE 63MM X 2 BSP PC (10643),TUBO - PVC - PPR,TOP FUSION,3,"R$ 1.186,17",4.1%,9586,19/11/2021,01/01/2000,Crítico,42.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1042,5,PPR PRETO TUBO S-5 50MM 3 MTS BR (10180),TUBO - PVC - PPR,TOP FUSION,8,"R$ 1.176,81",4.1%,9586,27/12/2019,01/01/2000,Crítico,42.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
396,3,CURVA 90 PVC SOLDAVEL 160MM CURTA PC (3903),CONX - PVC - PREDIAL,FORT CONEXOES,1,"R$ 95,46",4.0%,9586,15/12/2016,01/01/2000,Crítico,42.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
358,3,CPVC IND TE SCH80 2.1/2 - IMP PC (15300),CONX - PVC - INDUSTRIAL,CEPEX,4,"R$ 401,36",3.9%,9586,18/01/2024,01/01/2000,Crítico,42.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1588,5,VALV.RET.P/AMONIA WCB TIPO PISTAO 1 VRT-25 PC (16993),VALV - GLOBO - REFRIGERACAO,VALVUGAS,1,"R$ 597,72",3.8%,9586,08/03/2024,01/01/2000,Crítico,42.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
74,2,AR-CONEXAO RETA FEMEA 08MM X 1/2 PC (17250),PNHD - PNEUMATICA - CONEXOES,E-MC,10,"R$ 114,13",3.7%,9586,28/05/2024,01/01/2000,Crítico,42.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1331,3,TE SERV.INTEGRADO AUTO TRAVANTE 100 X 3/4 DE 20MM NTS 175 PC (10063),CONX - PVC - PEAD,POLIERG,1,"R$ 45,16",3.6%,9586,15/12/2016,01/01/2000,Crítico,42.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
725,3,JUNTA EXP.BORR.EPDM DUPLA ROSCA BSP GALV. 1.1/4 PC (16511),ACESS - JUNTAS - EXPANSAO,MECH,3,"R$ 283,50",3.6%,9586,18/03/2024,01/01/2000,Crítico,42.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1302,1,TE PVC DEFOFO/IRRIGA 100MM X 75MM PC (6601),CONX - PVC - INFRA,FORT CONEXOES,4,"R$ 60,44",3.5%,9586,15/12/2016,01/01/2000,Crítico,42.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1281,1,"TE INOX 304/L SCH10 SOLDA Y  76,20MM - 3 PIPE PC (17404)",CONX - INOX - SANITARIO,NACIONAL,2,"R$ 1.171,23",3.5%,9586,25/07/2024,01/01/2000,Crítico,42.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1528,1,VALV.GAVETA PN16 5 LATAO BSP IMP PC (9991),VALV - GAVETA - BRONZE,SFERA,1,"R$ 1.955,92",66.7%,489,19/12/2024,27/11/2024,Obsoleto,42.0%,A (70% do valor),Promover com desconto controlado
500,1,ESCOVA TUBULAR DE ACO 3000 3.1/2 - VONDER PC (8035),CONS - ACESS - ESCOVAS,VONDER,3,"R$ 32,19",3.3%,9586,15/12/2016,01/01/2000,Crítico,42.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1511,2,VALV.ESF.TRIP.WCB F300 S1000  3/4 PR TR HC/P.B7/2H TRAVA PC (6739),VALV - ESFERA - WCB,MGA,6,"R$ 1.160,08",3.3%,9586,14/02/2023,01/01/2000,Crítico,42.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
542,2,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105 4 - I.D. PC (17661),CONX - CARBONO - FLANGES,IMP.GIDEOLI,15,"R$ 1.930,06",3.3%,9586,18/12/2024,01/01/2000,Crítico,42.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1369,2,TUBO CORRER PVC PBA  75/85MM PC (1821),TUBO - PVC - INFRA,FORT CONEXOES,3,"R$ 77,16",3.2%,9586,15/12/2016,01/01/2000,Crítico,41.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
624,2,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  2.1/2 PC (5710),CONX - INOX - FLANGES,GIDEOLI,6,"R$ 1.907,14",3.1%,9586,19/08/2022,01/01/2000,Crítico,41.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
642,3,FLANGE INOX 316/L SO RF ANSI B16.5 150LBS 2.1/2 - I.D PC (17636),CONX - INOX - FLANGES,IMP.GIDEOLI,10,"R$ 1.888,23",3.1%,9586,18/12/2024,01/01/2000,Crítico,41.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
691,3,"INC-SINAL.FOTOL.30HR HIDRANTE 35,8CM X 35,8CM PVC 2MM PC (12298)",INCN - ACESSORIOS - SINALIZACAO,ALIEX,1,"R$ 55,65",3.1%,9586,06/03/2019,01/01/2000,Crítico,41.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
831,1,MAN.RETO 160MM 04 KGF/CM2 X 60 PSI CX.CARB.R1/2 NPT LATAO - GIDEOLI PC (2498),INDI - MEDICAO - PRESSAO,FAMABRAS,2,"R$ 191,25",3.1%,9586,15/03/2018,01/01/2000,Crítico,41.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
479,2,ER ACOPLADOR TAMPAO EFT-DC/TAC ALUMINIO 3 IMP. PC (15175),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 211,71",2.9%,9586,15/07/2022,01/01/2000,Crítico,41.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
952,5,PINO P/ VALV.PEDAL PC (2226),VALV - GLOBO - BRONZE,DECA,20,"R$ 80,24",2.9%,9586,10/10/2016,01/01/2000,Crítico,41.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
348,4,CPVC IND CAP/TAMPAO SCH80 SOLDAVEL 4 - IMP PC (16119),CONX - PVC - INDUSTRIAL,CEPEX,3,"R$ 286,04",2.8%,9586,18/01/2024,01/01/2000,Crítico,41.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1230,1,TE A/C A105 6000L NPT 2 PC (14394),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,1,"R$ 575,44",2.8%,9586,07/07/2021,01/01/2000,Crítico,41.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
721,2,JOELHO 90 PVC COLETOR 300MM PC (3254),CONX - PVC - INFRA,FORT CONEXOES,3,"R$ 1.019,68",59.6%,1405,31/05/2022,26/05/2022,Crítico,41.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
258,3,CONJ.VEDACAO P/VALV.VEB F150 PTFE 3 PP BRANCO CJ (12833),VALV - ESFERA - ACESSORIOS,MGA,1,"R$ 84,63",2.7%,9586,20/08/2019,01/01/2000,Crítico,41.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
768,4,LUVA DE CORRER PVC SOLDAVEL  32MM PC (5480),CONX - PVC - PREDIAL,AMANCO,14,"R$ 63,56",2.7%,9586,15/12/2016,01/01/2000,Crítico,41.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
445,1,CURVA INOX 316/L 90GR SOLDA A403 SCH10 1.1/2 - I.D. PC (17626),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,50,"R$ 1.227,76",2.7%,9586,18/12/2024,01/01/2000,Crítico,41.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
857,2,NIPLE DUPLO GALV. CL 300# 1.1/2 NPT PC (7876),CONX - FERRO MALEAVEL - TUPY,TUPY,20,"R$ 631,52",2.6%,9586,21/02/2022,01/01/2000,Crítico,41.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
977,2,"PORCA CIRCULAR INOX 304 SMS 127,00MM-5 PC (10305)",CONX - INOX - SANITARIO,IMPORTADO,3,"R$ 885,46",2.6%,9586,29/07/2016,01/01/2000,Crítico,41.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
990,1,PORTA ELETRODO C 600 PC (14399),CONS - ACESS - MAQUINAS,CARBOGRAFITE,3,"R$ 150,59",66.2%,431,28/07/2021,24/01/2025,Obsoleto,41.5%,A (70% do valor),Promover com desconto controlado
906,5,PARAF SEXT ZINC UNC 5/8 X 8 RP PC (919),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,20,"R$ 46,99",2.5%,9586,08/11/2016,01/01/2000,Crítico,41.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1304,5,TE PVC ROSCAVEL 2.1/2 PC (2609),CONX - PVC - PREDIAL,TIGRE,2,"R$ 56,42",2.4%,9586,15/12/2016,01/01/2000,Crítico,41.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
188,2,BUJAO A/C A105 3000L NPT 1.1/4 ID.PS PC (14854),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,30,"R$ 476,35",2.3%,9586,14/03/2022,01/01/2000,Crítico,41.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
761,3,KIT REPARO P/VALVULA DANFOSS EVRA/EVRS 20 PC (14005),VALV - CONTROLE - SOLENOIDE,DANFOSS,1,"R$ 655,59",2.2%,9586,22/12/2020,01/01/2000,Crítico,41.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
873,3,"NIPLE INOX 304 SMS 127,00MM-5 PC (10306)",CONX - INOX - SANITARIO,IMPORTADO,3,"R$ 760,89",2.2%,9586,29/07/2016,01/01/2000,Crítico,41.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
107,3,AR-TEE TUBO RED. 06MM X 04MM PC (10593),PNHD - PNEUMATICA - CONEXOES,E-MC,50,"R$ 67,60",2.2%,9586,26/09/2016,01/01/2000,Crítico,41.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
478,3,ER ACOPLADOR TAMPAO EFT-DC/TAC ALUMINIO 2.1/2 IMP. PC (15179),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 155,88",2.2%,9586,15/07/2022,01/01/2000,Crítico,41.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1222,3,TE A/C A105 2000L NPT 2 PC (2837),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,5,"R$ 445,65",2.1%,9586,23/11/2016,01/01/2000,Crítico,41.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
447,2,CURVA INOX 316/L 90GR SOLDA A403 SCH10 2.1/2 - I.D. PC (17628),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,15,"R$ 944,51",2.1%,9586,18/12/2024,01/01/2000,Crítico,41.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1055,2,PURGADOR - DISCO MDT/MSDT/SDT/NDT/WDT-421 3/4 PC (8170),INDI - ACESSORIOS - PURGADORES,,2,"R$ 69,68",2.0%,9586,27/10/2016,01/01/2000,Crítico,41.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
536,3,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105 10 - I.D. PC (17664),CONX - CARBONO - FLANGES,IMP.GIDEOLI,2,"R$ 1.186,88",2.0%,9586,18/12/2024,01/01/2000,Crítico,41.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
587,4,FLANGE A/C SO RF ANSI B16.5 CL.300LBS ASTM A-105 14 - I.D. PC (15055),CONX - CARBONO - FLANGES,IMP.GIDEOLI,2,"R$ 1.171,34",2.0%,9586,23/06/2022,01/01/2000,Crítico,41.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1080,2,REDUCAO A/C CONC.SCH 40 S/C ASTM A234 WPB  5 X 2.1/2 I.D.PS PC (14465),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,15,"R$ 788,60",1.9%,9586,15/12/2021,01/01/2000,Crítico,41.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
267,4,CONJ.VEDACAO P/VALV.VET S1000 PTFE REF. 1.1/4PR - 1 PP - MGA CJ (10421),VALV - ESFERA - ACESSORIOS,MGA,4,"R$ 59,64",1.9%,9586,26/05/2021,01/01/2000,Crítico,41.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
540,5,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105 3 - I.D. PC (17660),CONX - CARBONO - FLANGES,IMP.GIDEOLI,15,"R$ 1.146,39",1.9%,9586,18/12/2024,01/01/2000,Crítico,41.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
264,5,CONJ.VEDACAO P/VALV.VET PTFE  3/4PP-1PR - MGA CJ (4706),VALV - ESFERA - ACESSORIOS,MGA,11,"R$ 58,25",1.9%,9586,29/12/2016,01/01/2000,Crítico,41.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
710,4,INC-SINAL.FOTOL.SAIDA EMERG.SETA ADIANTE 10X20CM PC (6780),INCN - ACESSORIOS - SINALIZACAO,ALIEX,10,"R$ 33,79",1.9%,9586,17/09/2016,01/01/2000,Crítico,41.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
406,3,CURVA A/C 90 SCH 40 S/C RC ASTM A234 WPB 5 PC (12097),CONX - CARBONO - SOLDA TOPO,IMPORTADO,10,"R$ 753,11",1.9%,9586,03/08/2018,01/01/2000,Crítico,41.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1276,3,TE INOX 304/L SCH 10 5 - I.D. PC (12969),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,5,"R$ 843,44",1.8%,9586,16/01/2020,01/01/2000,Crítico,41.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
811,1,LUVA RED.PVC IRRIGA BB PN80 100 X 75MM PC (1424),CONX - PVC - IRRIGACAO,FORT CONEXOES,2,"R$ 7,62",1.8%,9586,15/12/2016,01/01/2000,Crítico,41.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
978,6,PORCA GAXETA P/VALV.PEDAL 1/2 PC (2223),VALV - GLOBO - BRONZE,DECA,20,"R$ 50,32",1.8%,9586,10/10/2016,01/01/2000,Crítico,41.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
431,4,CURVA INOX 304/L 45GR SOLDA A403 SCH10  8 PC (16565),CONX - INOX - SOLDA TOPO,IMPORTADO,2,"R$ 834,95",1.8%,9586,23/10/2023,01/01/2000,Crítico,41.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
412,4,CURVA A/C 90 SCH 80 S/C RL ASTM A234 WPB 3.1/2 I.D. PC (15937),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,15,"R$ 726,24",1.8%,9586,19/03/2024,01/01/2000,Crítico,41.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1280,5,TE INOX 304/L SCH 10 RED. 6 X 4 IMP PC (13550),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 813,23",1.8%,9586,06/06/2022,01/01/2000,Crítico,41.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1107,5,REDUCAO A/C CONC.SCH 80 S/C ASTM A234 WPB 14 X 10 PC (11517),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 708,45",1.8%,9586,13/11/2017,01/01/2000,Crítico,41.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
312,4,COTOVELO A/C 45GR A105 2000L NPT 1.1/2 ID PC (15060),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,10,"R$ 362,21",1.7%,9586,23/06/2022,01/01/2000,Crítico,41.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1549,7,VALV.GLOBO BRONZE 300 FIG 011  3/4 BSP PC (2647),VALV - GLOBO - BRONZE,MIPEL,1,"R$ 47,94",1.7%,9586,10/10/2016,01/01/2000,Crítico,41.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
948,6,PESTANA INOX 316/L SCH10 LONGA MSSP-SP 10 PC (17008),CONX - INOX - SOLDA TOPO,NACIONAL,1,"R$ 772,70",1.7%,9586,21/03/2024,01/01/2000,Crítico,41.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1354,1,"TUBO ACO S/C 06 X 1,00 X 04MM - EN10305-4 E235+N LT MT (1552)",TUBO - CARBONO - CONDUCAO,,25,"R$ 273,82",1.7%,9586,16/04/2024,01/01/2000,Crítico,41.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1424,2,UNIAO DRESSER GALV. 1.1/2 - IMP PC (16434),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,2,"R$ 195,48",1.7%,9586,14/12/2023,01/01/2000,Crítico,41.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
21,4,"ABRACADEIRA INOX 304 TC SUPORTE C/LUVA  31,75MM-1.1/4 - I.D. PC (13103)",CONX - INOX - SANITARIO,IMP.GIDEOLI,30,"R$ 541,70",1.6%,9586,19/03/2024,01/01/2000,Crítico,41.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
303,3,COTOVELO 90R GALV. 2.1/2 X 2 - IMP PC (15194),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,4,"R$ 186,81",1.6%,9586,14/12/2023,01/01/2000,Crítico,41.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1252,3,TE GALV. CL 300# 1 NPT PC (43),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 377,97",1.6%,9586,01/07/2020,01/01/2000,Crítico,41.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
336,1,COTOVELO INOX 316 90GR 150LBS ROSCA BSP 2.1/2 PC (9679),CONX - INOX - ROSCAVEL,IMPORTADO,5,"R$ 390,39",1.6%,9586,25/10/2016,01/01/2000,Crítico,40.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
545,6,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105 5 PC (17237),CONX - CARBONO - FLANGES,GIDEOLI,2,"R$ 887,78",1.5%,9586,15/05/2024,01/01/2000,Crítico,40.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
313,5,COTOVELO A/C 45GR A105 2000L NPT 1.1/4 ID PC (15061),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,10,"R$ 307,86",1.5%,9586,23/06/2022,01/01/2000,Crítico,40.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
544,7,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105 5 - I.D. PC (17662),CONX - CARBONO - FLANGES,IMP.GIDEOLI,5,"R$ 865,19",1.5%,9586,18/12/2024,01/01/2000,Crítico,40.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
304,4,COTOVELO 90R GALV. 2.1/2 X 2 - TUPY PC (804),CONX - FERRO MALEAVEL - TUPY,TUPY,5,"R$ 346,00",1.4%,9586,15/08/2022,01/01/2000,Crítico,40.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1153,7,REDUCAO INOX 304 CONC.SCH 10  8 X 3 PC (15920),CONX - INOX - SOLDA TOPO,,2,"R$ 665,20",1.4%,9586,19/05/2023,01/01/2000,Crítico,40.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
316,6,COTOVELO A/C 45GR A105 3000L SW 2 PC (5791),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,4,"R$ 298,38",1.4%,9586,11/03/2024,01/01/2000,Crítico,40.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1254,5,"TE INOX 304/L OD SOLDA  38,10mm - 1.1/2 PIPE - IMP PC (17768)",CONX - INOX - SANITARIO,IMPORTADO,10,"R$ 462,37",1.4%,9586,05/11/2024,01/01/2000,Crítico,40.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1554,1,VALV.GLOBO PASS.RETA P/VAPOR ANSI 300#  1/2 PC (10071),VALV - GLOBO - WCB,VASTIN,2,"R$ 1.041,50",1.4%,9586,26/02/2020,01/01/2000,Crítico,40.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
310,7,COTOVELO A/C 45GR A105 2000L NPT  3/4 ID PC (15058),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,20,"R$ 272,59",1.3%,9586,23/06/2022,01/01/2000,Crítico,40.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
701,5,INC-SINAL.FOTOL.NAO USE ELEVADOR 20 X 20 CM PC (7059),INCN - ACESSORIOS - SINALIZACAO,ALIEX,8,"R$ 23,31",1.3%,9586,17/09/2016,01/01/2000,Crítico,40.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1284,8,TE INOX 316/L SCH10 6 PC (7571),CONX - INOX - SOLDA TOPO,IMPORTADO,2,"R$ 598,44",1.3%,9586,15/10/2016,01/01/2000,Crítico,40.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1045,6,PPR VERDE ADAPT. 25MM X 3/4 BSP PC (15702),TUBO - PVC - PPR,TOP FUSION,30,"R$ 375,92",1.3%,9586,06/03/2023,01/01/2000,Crítico,40.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
197,2,BUJAO INOX 304/L 150# 2.1/2 BSP PC (6818),CONX - INOX - ROSCAVEL,IMPORTADO,6,"R$ 324,27",1.3%,9586,29/11/2018,01/01/2000,Crítico,40.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
766,6,LUVA DE CORRER PVC ESGOTO 150MM PC (2717),CONX - PVC - PREDIAL,FORT CONEXOES,5,"R$ 30,50",1.3%,9586,15/12/2016,01/01/2000,Crítico,40.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
993,7,PPR AZUL ADAPT.REGISTRO ESF. 63MM PC (14737),TUBO - PVC - PPR,TOP FUSION,15,"R$ 352,77",1.2%,9586,03/11/2023,01/01/2000,Crítico,40.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
